City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
454,Ukiah,US,66.0,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
460,Sakakah,SA,60.8,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
480,Kruisfontein,ZA,66.99,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
481,Hasaki,JP,60.8,light rain,35.7333,140.8333,Hotel Sunrise Choshi
483,Rocha,UY,68.86,scattered clouds,-34.4833,-54.3333,Beleza Pura B&B
492,Polson,US,62.01,overcast clouds,47.6936,-114.1632,Americas Best Value Port Polson Inn
495,Najran,SA,69.8,dust,17.4924,44.1277,محمد هادي ال فطيح
498,Nouadhibou,MR,66.2,overcast clouds,20.930999999999997,-17.0347,El Medina
500,Curup,ID,67.35,light rain,-3.4667,102.5333,Ayi The Costel
505,Albury,AU,60.01,clear sky,-36.0833,146.9167,Albury Georgian Motel & Suites
506,Coquimbo,CL,66.2,few clouds,-29.9533,-71.3436,Punto de encuentro
507,Takaka,NZ,64.99,broken clouds,-40.85,172.8,Golden Bay Motels
514,Broken Hill,AU,60.8,clear sky,-31.95,141.4333,Royal Exchange Hotel
517,Yulara,AU,62.6,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
518,Biloela,AU,69.24,overcast clouds,-24.4167,150.5,Silo Motor Inn
526,Faya,SA,64.4,clear sky,18.3851,42.4509,مقبرة ال مجمل
532,Marsh Harbour,BS,67.37,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
536,Tateyama,JP,66.2,light rain,34.9833,139.8667,Tateyama Seaside Hotel
549,Shimoda,JP,63.0,light intensity drizzle,34.6667,138.95,Shimoda Tokyu Hotel
552,Kabompo,ZM,69.91,overcast clouds,-13.5927,24.2008,Big Tree
555,Buraydah,SA,64.4,clear sky,26.326,43.975,فندق راحة السلام
568,Darab,IR,62.29,overcast clouds,28.7519,54.5444,Naghshe shapoor Hotel
570,Coos Bay,US,60.01,clear sky,43.3665,-124.2179,Best Western Holiday Hotel
580,Terrasini,IT,61.0,scattered clouds,38.146,13.0844,Florio Park Hotel
584,Iquique,CL,69.8,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
591,Malanje,AO,64.26,few clouds,-9.5402,16.340999999999998,Malanje Hotel
592,Copiapo,CL,69.8,clear sky,-27.3667,-70.3333,San Francisco de La Selva
613,Inyonga,TZ,64.0,moderate rain,-6.7167,32.0667,Eden Rock Lodge
621,Kapiri Mposhi,ZM,60.78,clear sky,-13.9652,28.6809,MA 22 LODGE
626,Lucapa,AO,68.2,light rain,-8.4192,20.7447,Residência Ulisses Dos Santos
633,Kamina,CD,65.1,few clouds,-8.7386,24.9906,Guest House Florvia
640,Marawi,PH,66.81,overcast clouds,7.9986,124.2928,Derogongan Residence
641,Inhambane,MZ,69.04,clear sky,-23.865,35.3833,Oceano
644,Kenora,CA,60.8,broken clouds,49.8167,-94.4337,Maynard Lake Lodge
661,Chokwe,MZ,66.45,clear sky,-24.5333,32.9833,Complexo Sonho Real
670,Ballina,AU,68.0,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
671,Durban,ZA,68.0,clear sky,-29.8579,31.0292,Hilton Durban
689,Patea,NZ,64.99,overcast clouds,-39.7583,174.4833,Patea Rest N Fresh
695,Lapeer,US,64.0,clear sky,43.0514,-83.3188,Holiday Inn Express Lapeer
