City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Kapaa,US,2021-04-02 16:49:15,22.0752,-159.319,73.4,73,90,13.8
67,Muros,ES,2021-04-02 16:49:15,42.7762,-9.0603,61.0,92,99,10.0
68,Atuona,PF,2021-04-02 16:49:15,-9.8,-139.0333,80.82,78,81,13.94
69,Binika,IN,2021-04-02 16:49:16,21.0333,83.8,85.71,10,0,3.91
70,Ribeira Grande,PT,2021-04-02 16:49:16,38.5167,-28.7,60.8,88,75,23.02
71,Margherita,IN,2021-04-02 16:48:05,27.2833,95.6833,65.66,79,28,2.68
72,Clyde River,CA,2021-04-02 16:49:16,70.4692,-68.5914,-11.2,84,75,26.46
73,Pangnirtung,CA,2021-04-02 16:49:17,66.1451,-65.7125,-14.8,58,1,2.3
74,Tiksi,RU,2021-04-02 16:49:17,71.6872,128.8694,-16.49,100,100,6.93
75,Dholka,IN,2021-04-02 16:49:18,22.7167,72.4667,86.0,35,4,5.75
76,Juba,SS,2021-04-02 16:49:18,4.8517,31.5825,82.0,49,83,3.83
77,Saldanha,ZA,2021-04-02 16:49:18,-33.0117,17.9442,69.8,52,68,10.36
78,Prata,BR,2021-04-02 16:49:18,-19.3072,-48.9242,87.04,37,77,4.5
79,Avarua,CK,2021-04-02 16:49:19,-21.2078,-159.775,77.0,83,13,5.75
80,Kampong Cham,KH,2021-04-02 16:49:19,11.9934,105.4635,83.71,72,71,6.55
81,Galle,LK,2021-04-02 16:49:19,6.0367,80.217,81.43,84,27,10.16
82,Catuday,PH,2021-04-02 16:49:20,16.2923,119.8062,79.05,75,6,3.18
83,Oriximina,BR,2021-04-02 16:49:20,-1.7656,-55.8661,81.16,84,82,4.65
84,Cape Canaveral,US,2021-04-02 16:49:20,28.4058,-80.6048,68.0,48,1,23.02
85,Palamos,ES,2021-04-02 16:49:21,41.8484,3.1291,68.0,37,0,8.05
86,Yakeshi,CN,2021-04-02 16:49:21,49.2833,120.7333,24.51,50,4,21.5
87,Vaini,TO,2021-04-02 16:49:21,-21.2,-175.2,73.4,100,40,5.82
88,Tasiilaq,GL,2021-04-02 16:49:22,65.6145,-37.6368,32.0,86,90,5.75
